"","candidate","date","fit.fit","fit.lwr","fit.upr","se.fit","df","residual.scale"
"1","bush","9-2015",0.349483786075251,0.311745765165561,0.387221806984941,0.0191971889162988,407,0.339630123321459
"2","rubio","9-2015",0.964699688588671,0.893848394505749,1.03555098267159,0.0360417861002574,407,0.339630123321459
"3","carson","3-2016",0.185653094398946,0.144992487131888,0.226313701666005,0.0206838975744148,407,0.339630123321459
"4","trump","11-2015",0.312481622719817,0.272376361438559,0.352586884001074,0.0204013951658002,407,0.339630123321459
"5","kasich","12-2015",0.562467564638033,0.517421726761598,0.607513402514467,0.0229146478474931,407,0.339630123321459
"6","clinton","4-2016",0.014890989291359,-0.0299170362429426,0.0596990148256607,0.0227936736059059,407,0.339630123321459
"7","cruz","2-2016",0.70093767317273,0.648657877910839,0.753217468434622,0.0265945346882312,407,0.339630123321459
"8","carson","5-2015",0.477191363997891,0.435894829893145,0.518487898102638,0.0210073911584913,407,0.339630123321459
"9","christie","6-2015",0.199351967234318,0.161394342735322,0.237309591733314,0.0193089004339929,407,0.339630123321459
"10","cruz","1-2016",0.406783299198632,0.367940665104643,0.445625933292622,0.0197591014773515,407,0.339630123321459
"11","sanders","10-2015",-0.668807165043013,-0.746008539326573,-0.591605790759453,0.0392720479504224,407,0.339630123321459
"12","bush","2-2016",0.258395626292187,0.218681109127136,0.298110143457238,0.0202026251074897,407,0.339630123321459
"13","bush","10-2015",0.223828186248628,0.178315566089199,0.269340806408057,0.0231520982344881,407,0.339630123321459
"14","paul","11-2015",0.387063895455475,0.347213803696544,0.426913987214405,0.0202715913921071,407,0.339630123321459
"15","cruz","12-2015",0.795893676700648,0.72890936421802,0.862877989183276,0.0340746671436395,407,0.339630123321459
"16","rubio","4-2015",0.3301219203655,0.29438441426594,0.365859426465061,0.0181795345768775,407,0.339630123321459
"17","cruz","8-2015",0.806175305885274,0.745105037850666,0.867245573919881,0.0310662150364203,407,0.339630123321459
"18","sanders","12-2015",-0.285887127183109,-0.341980431667063,-0.229793822699156,0.0285344524477016,407,0.339630123321459
"19","paul","10-2015",0.470296973672853,0.426899061965451,0.513694885380255,0.0220763540200894,407,0.339630123321459
"20","rubio","1-2016",0.623163516887492,0.571531574643745,0.674795459131238,0.0262649743011331,407,0.339630123321459
"21","sanders","11-2015",-0.393098057772247,-0.448298640479835,-0.337897475064659,0.0280803282467642,407,0.339630123321459
"22","trump","1-2016",0.392372980893385,0.34955801899669,0.435187942790079,0.0217798096498465,407,0.339630123321459
"23","bush","8-2015",0.347129538038377,0.305816589345037,0.388442486731716,0.0210157411978048,407,0.339630123321459
"24","sanders","7-2015",-0.897305663538157,-0.990913449012021,-0.803697878064293,0.047617927449839,407,0.339630123321459
"25","cruz","5-2015",0.243436710882754,0.200962739502506,0.285910682263001,0.0216063490600989,407,0.339630123321459
"26","sanders","4-2016",-0.416672501257692,-0.480527953105153,-0.352817049410231,0.0324830275383244,407,0.339630123321459
"27","sanders","4-2015",-1.15156199668463,-1.26612307617135,-1.0370009171979,0.0582767890935459,407,0.339630123321459
"28","christie","2-2016",0.548662394313898,0.50316591512394,0.594158873503856,0.0231438873841901,407,0.339630123321459
"29","christie","9-2015",0.315444334753863,0.27654496905189,0.354343700455836,0.0197879606323823,407,0.339630123321459
"30","clinton","3-2016",-0.136978391045886,-0.183451864479957,-0.0905049176118139,0.0236408806716567,407,0.339630123321459
"31","cruz","10-2015",0.386331136330829,0.347040410109183,0.425621862552475,0.0199870442528119,407,0.339630123321459
"32","rubio","3-2016",0.298510798385143,0.262509794116915,0.33451180265337,0.0183135751015544,407,0.339630123321459
"33","sanders","9-2015",-0.98113347040425,-1.08162860537601,-0.880638335432484,0.0511214961653314,407,0.339630123321459
"34","christie","1-2016",0.355172741956425,0.314950673479385,0.395394810433465,0.0204608145457828,407,0.339630123321459
"35","cruz","6-2015",0.387453999584863,0.348228796858165,0.426679202311561,0.0199537126980387,407,0.339630123321459
"36","sanders","3-2016",-0.103920949172881,-0.143964756699511,-0.0638771416462496,0.0203701338725808,407,0.339630123321459
"37","carson","1-2016",0.867016247385185,0.805670121995069,0.928362372775301,0.0312065426328336,407,0.339630123321459
"38","bush","7-2015",0.305854146370515,0.264130550662282,0.347577742078748,0.0212246357856183,407,0.339630123321459
"39","sanders","2-2016",-0.444877028397544,-0.505862862931493,-0.383891193863596,0.0310232640330571,407,0.339630123321459
"40","kasich","9-2015",0.449666029998369,0.408824086325656,0.490507973671082,0.0207761427201016,407,0.339630123321459
"41","paul","1-2016",0.240012364822599,0.195833092458046,0.284191637187153,0.0224738292396564,407,0.339630123321459
"42","trump","3-2016",0.346802068322369,0.310994455550783,0.382609681093955,0.0182151975765454,407,0.339630123321459
"43","kasich","11-2015",0.596280051517764,0.550729835572775,0.641830267462753,0.0231712230688181,407,0.339630123321459
"44","christie","8-2015",0.458727425572368,0.408531629978938,0.508923221165799,0.0255344119162214,407,0.339630123321459
"45","clinton","11-2015",0.00347481740503069,-0.0394810042242185,0.0464306390342798,0.0218514644645762,407,0.339630123321459
"46","bush","12-2015",0.868263911332358,0.802829005496118,0.933698817168597,0.0332864898258605,407,0.339630123321459
"47","rubio","11-2015",0.247383142491324,0.208565864406207,0.286200420576442,0.019746202971263,407,0.339630123321459
"48","bush","11-2015",0.594202521747665,0.548162508402221,0.64024253509311,0.0234203811592693,407,0.339630123321459
"49","kasich","3-2016",0.361119839939743,0.324725482927822,0.397514196951664,0.01851367215883,407,0.339630123321459
"50","sanders","5-2015",-5.04874426931884,-5.44761501724779,-4.64987352138989,0.202904045220118,407,0.339630123321459
"51","sanders","6-2015",-0.324142222574246,-0.380140087229781,-0.268144357918711,0.028485902566915,407,0.339630123321459
"52","carson","9-2015",0.630258230285107,0.580430521024259,0.680085939545956,0.0253471677869918,407,0.339630123321459
"53","sanders","6-2016",0.00618007392633094,-0.0537087425577257,0.0660688904103876,0.0304652150882341,407,0.339630123321459
"54","paul","7-2015",0.615523998611577,0.539344157686629,0.691703839536524,0.0387523977833794,407,0.339630123321459
"55","christie","10-2015",0.628419388544787,0.580608884995712,0.676229892093861,0.0243210228488502,407,0.339630123321459
"56","kasich","2-2016",0.336798006832194,0.300200526604572,0.373395487059815,0.0186170001726231,407,0.339630123321459
"57","paul","12-2015",0.482791008147123,0.440814630271676,0.52476738602257,0.0213532251207692,407,0.339630123321459
"58","cruz","7-2015",0.903150554094219,0.837720802102223,0.968580306086215,0.0332838680847303,407,0.339630123321459
"59","clinton","12-2015",-0.102596948582538,-0.149019971690451,-0.0561739254746253,0.0236152167810016,407,0.339630123321459
"60","cruz","4-2016",0.254028272093182,0.215774093252981,0.292282450933384,0.0194597565089762,407,0.339630123321459
"61","cruz","4-2015",0.835339001013661,0.775921206684575,0.894756795342748,0.030225607894355,407,0.339630123321459
"62","sanders","1-2016",-0.515578309385244,-0.579712405910471,-0.451444212860017,0.0326247730350581,407,0.339630123321459
"63","paul","6-2015",0.545629210057066,0.499520995180078,0.591737424934054,0.0234550750211586,407,0.339630123321459
"64","carson","2-2016",0.429580041660256,0.390273814860976,0.468886268459537,0.0199949293381974,407,0.339630123321459
"65","carson","10-2015",0.262790230706752,0.224324378120803,0.3012560832927,0.0195674341451581,407,0.339630123321459
"66","clinton","10-2015",-0.0234207815337369,-0.064483891276036,0.0176423282085622,0.0208886490656221,407,0.339630123321459
"67","cruz","11-2015",0.609280969003709,0.561669931488519,0.656892006518898,0.024219555229654,407,0.339630123321459
"68","trump","12-2015",0.522171845165584,0.476127127761824,0.568216562569343,0.0234227740959938,407,0.339630123321459
"69","trump","10-2015",0.522409874451714,0.476263490866344,0.568556258037085,0.0234744912991682,407,0.339630123321459
"70","cruz","9-2015",0.965687241927027,0.893813483775575,1.03756100007848,0.0365619097159249,407,0.339630123321459
"71","carson","8-2015",0.545536841215696,0.5004226417115,0.590651040719892,0.0229494231497248,407,0.339630123321459
"72","cruz","3-2016",0.58203216832188,0.537262803203433,0.626801533440328,0.0227740071981598,407,0.339630123321459
"73","cruz","3-2015",0.570300400284499,0.525648416955765,0.614952383613233,0.0227142955244117,407,0.339630123321459
